"","Origin.Code","Destination.Code","Dep.Time","Arr.Time","Flight","Airline.Code","Alliance","Origin.Country","Destination.Country","Day.of.Week","Block.Mins","Seats"
"4699","TRD","SVG",1750,1900,4485,"SK","Star Alliance","Norway","Norway","Monday",70,90
"4706","TRD","TRF",820,925,481,"WF","None","Norway","Norway","Monday",65,114
"4711","TRD","TRF",1350,1455,485,"WF","None","Norway","Norway","Monday",65,114
"4718","TRD","TRF",1940,2045,487,"WF","None","Norway","Norway","Monday",65,114
"4724","TRF","BGO",615,710,402,"WF","None","Norway","Norway","Monday",55,78
"4729","TRF","BGO",700,755,404,"WF","None","Norway","Norway","Monday",55,78
"4735","TRF","BGO",930,1025,406,"WF","None","Norway","Norway","Monday",55,78
"4741","TRF","BGO",1255,1350,414,"WF","None","Norway","Norway","Monday",55,78
"4748","TRF","BGO",1525,1615,418,"WF","None","Norway","Norway","Monday",50,114
"4754","TRF","BGO",1815,1910,424,"WF","None","Norway","Norway","Monday",55,78
"4761","TRF","SVG",630,720,432,"WF","None","Norway","Norway","Monday",50,78
"4766","TRF","SVG",855,945,436,"WF","None","Norway","Norway","Monday",50,78
"4771","TRF","SVG",1410,1500,442,"WF","None","Norway","Norway","Monday",50,78
"4777","TRF","SVG",1530,1620,446,"WF","None","Norway","Norway","Monday",50,78
"4783","TRF","TRD",645,750,480,"WF","None","Norway","Norway","Monday",65,114
"4789","TRF","TRD",955,1100,482,"WF","None","Norway","Norway","Monday",65,114
"4795","TRF","TRD",1805,1910,486,"WF","None","Norway","Norway","Monday",65,114
